q_value	p_value	UCSC_RefGene_Accession
0.008898595435426178	1.439093146599264e-05	NM_015205
0.008898595435426178	1.4390931465996178e-05	NM_032189
0.008898595435426178	1.5312750527155685e-05	NM_001006618
0.008898595435426178	2.074300196266207e-05	NM_001006617
0.008898595435426178	2.074300196266214e-05	NM_001006619
0.008898595435426178	2.074300196266214e-05	NM_001006621
0.008898595435426178	2.074300196266238e-05	NM_001006620
0.008898595435426178	2.0743001962662384e-05	NM_024117
0.008898595435426178	2.2357143010878604e-05	NM_007371
0.008898595435426178	3.415748562037132e-05	NM_173194
0.008898595435426178	3.758071489528248e-05	NM_014629
0.008898595435426178	3.916686732226542e-05	NR_026580
0.008898595435426178	3.916686732226871e-05	NM_007111
0.008898595435426178	4.028749387693365e-05	NM_021213
0.008898595435426178	4.028749387693585e-05	NM_001102402
0.008898595435426178	4.536261187340827e-05	NM_001037165
0.008898595435426178	4.725872897811106e-05	NM_152909
0.008898595435426178	4.7920360229240536e-05	NM_001010883
0.008898595435426178	5.269913249773218e-05	NM_173516
0.008898595435426178	5.6256057450059566e-05	NM_005539
0.008898595435426178	5.656498351565533e-05	NM_002737
0.008898595435426178	6.008112532178098e-05	NM_033331
0.008898595435426178	6.00811253217813e-05	NM_003671
0.008898595435426178	6.256038178484062e-05	NM_002806
0.008898595435426178	6.662645297531734e-05	NM_004998
0.008898595435426178	6.932271672720743e-05	NM_001013837
0.008898595435426178	6.932271672728226e-05	NM_001013836
0.008898595435426178	6.932271672730116e-05	NM_003550
0.008898595435426178	6.95695517733323e-05	NM_133267
0.008898595435426178	8.012462932002179e-05	NM_207437
0.008898595435426178	8.404605358370628e-05	NM_022170
0.008898595435426178	8.40460535837067e-05	NM_031992
0.008898595435426178	8.449869546262887e-05	NM_003496
0.008898595435426178	8.967682318011846e-05	NM_002044
0.008898595435426178	9.06267648918222e-05	NM_001100421
0.008898595435426178	9.062676489182433e-05	NM_017447
0.008898595435426178	9.06267648918247e-05	NM_001100420
0.008898595435426178	9.070539748638641e-05	NM_173074
0.008898595435426178	9.070539748638977e-05	NM_002643
0.008898595435426178	9.161576393543886e-05	NM_001109662
0.008898595435426178	9.177603083416642e-05	NM_207442
0.008898595435426178	9.729757549415614e-05	NM_001008495
0.008898595435426178	9.729757549415717e-05	NM_001146273
0.008898595435426178	0.00010456564705116936	NM_002187
0.008898595435426178	0.00010617229998685441	NM_002119
0.008898595435426178	0.0001076842371658379	NM_130839
0.008898595435426178	0.00011004629095150972	NM_147197
0.008898595435426178	0.00011841813187196585	NM_001130965
0.008898595435426178	0.00011841813187212806	NM_025154
0.008898595435426178	0.00011921089111664675	NM_138775
0.008898595435426178	0.00012109688784295536	NM_194283
0.008898595435426178	0.00012109688784295822	NM_001012339
0.008898595435426178	0.0001279770328720205	NM_001039165
0.008898595435426178	0.00012800210964704185	NM_001380
0.008898595435426178	0.00013025902647699497	NM_024776
0.008898595435426178	0.00013086060137985453	NM_018941
0.008898595435426178	0.00013124045524703993	NM_005533
0.008898595435426178	0.00013193773646119018	NR_002834
0.008898595435426178	0.00013232456070840184	NM_015308
0.008898595435426178	0.00013288795012286544	NR_027154
0.008898595435426178	0.0001356491420178196	NM_001144382
0.008898595435426178	0.0001356535147228687	NM_001008723
0.008898595435426178	0.00013905033473614805	NR_026825
0.008898595435426178	0.00014965654085617147	NR_003695
0.008898595435426178	0.00014965654085617177	NR_031660
0.008898595435426178	0.0001513487599277841	NM_002480
0.008898595435426178	0.0001513487599278082	NM_001143885
0.008898595435426178	0.00016130475735555538	NM_021961
0.008898595435426178	0.00016174594864673916	NM_005766
0.008898595435426178	0.00016312326104867965	NM_139164
0.008898595435426178	0.00016330858394382933	NM_014960
0.008898595435426178	0.000165941345357763	NM_007114
0.008898595435426178	0.0001674489402395864	NM_178835
0.008898595435426178	0.0001680430189341033	NM_012248
0.008898595435426178	0.0001681046905751741	NM_001100424
0.008898595435426178	0.0001681046905840784	NM_001100422
0.008898595435426178	0.00016810469059684647	NM_015535
0.008898595435426178	0.00017400884200822312	NR_002559
0.008898595435426178	0.00017432579774283492	NR_027460
0.008898595435426178	0.00017609431631222545	NM_003484
0.008898595435426178	0.0001790334229756354	NM_001100423
0.008898595435426178	0.00018182097581891278	NM_175850
0.008898595435426178	0.0001818847146473863	NM_080596
0.008898595435426178	0.0001832333109081432	NM_001128214
0.008898595435426178	0.00018630386465370489	NM_014671
0.008898595435426178	0.00018753488503097618	NM_024854
0.008898595435426178	0.0001893610103384072	NM_016053
0.008898595435426178	0.00019024848147441528	NM_016238
0.008898595435426178	0.00019060105240744255	NM_001137664
0.008898595435426178	0.0001913997340646582	NM_015199
0.008898595435426178	0.0001926465624389829	NM_015132
0.008898595435426178	0.0001932357904229785	NM_144696
0.008898595435426178	0.0001939479193587187	NM_138384
0.008898595435426178	0.0001943263997767178	NM_003483
0.008898595435426178	0.00019763801137547663	NM_182766
0.008898595435426178	0.00020389929379858876	NM_032593
0.008898595435426178	0.0002042532616459559	NM_000426
0.008898595435426178	0.00020425326164595842	NM_001079823
0.008898595435426178	0.00020598810505510805	NM_006037
0.008898595435426178	0.0002093268662985224	NM_004723
0.008898595435426178	0.00020932686629852493	NM_001162383
0.008898595435426178	0.00020932686629852754	NM_001162384
0.008898595435426178	0.00021205049149783544	NM_018112
0.008898595435426178	0.00021356282010578633	NM_014171
0.008898595435426178	0.00022088639678370761	NM_001260
0.008898595435426178	0.0002221730154373677	NM_018283
0.008898595435426178	0.0002251720882164919	NM_016030
0.008898595435426178	0.00022579446786138183	NM_006191
0.008898595435426178	0.00022700563355528046	NM_005450
0.008898595435426178	0.00022822706093008285	NM_005642
0.008898595435426178	0.00023094057489161842	NM_133509
0.008898595435426178	0.00023368706939373165	NM_015101
0.008898595435426178	0.00023395897558667962	NM_018295
0.008898595435426178	0.00023596301057884477	NM_145239
0.008898595435426178	0.0002384416689095781	NM_001167575
0.008898595435426178	0.0002384416689095781	NM_024828
0.008898595435426178	0.0002391100995801445	NM_001166286
0.008898595435426178	0.00023928992018283643	NM_003977
0.008898595435426178	0.00023929143915705844	NM_001166283
0.008898595435426178	0.00023929143915705906	NM_001166288
0.008898595435426178	0.0002392914391570638	NM_001166289
0.008898595435426178	0.0002399505661083331	NM_002824
0.008898595435426178	0.0002443427782629009	NM_173191
0.008898595435426178	0.00024434277826290517	NM_173193
0.008898595435426178	0.00024434277826291346	NM_173195
0.008898595435426178	0.00024434277826291536	NM_014591
0.008898595435426178	0.00024434277826291536	NM_173192
0.008898595435426178	0.0002475289750591329	NM_000305
0.008898595435426178	0.0002475289750591329	NM_001018161
0.008898595435426178	0.0002640946641793158	NM_002092
0.008898595435426178	0.0002640946641800595	NM_001098477
0.008898595435426178	0.00026514409009826656	NM_003076
0.008898595435426178	0.0002651440900982707	NM_139071
0.008898595435426178	0.00026547742121412697	NM_015409
0.008898595435426178	0.0002670118230441636	NM_199177
0.008898595435426178	0.0002670118230441677	NM_138777
0.008898595435426178	0.00026822018457480656	NM_022463
0.008898595435426178	0.0002697926387285579	NM_000442
0.008898595435426178	0.0002700513027118218	NM_001143842
0.008898595435426178	0.000270051302711823	NM_001143841
0.008898595435426178	0.000270051302711823	NM_024056
0.008898595435426178	0.00027005130271182424	NM_001143843
0.008898595435426178	0.0002730551427884014	NM_018079
0.008898595435426178	0.0002742905521733623	NM_000027
0.008898595435426178	0.00027591058378122175	NM_001143767
0.008898595435426178	0.0002759105837812223	NM_001143768
0.008898595435426178	0.00027591058378122305	NM_001143771
0.008898595435426178	0.0002759105837812231	NR_026560
0.008898595435426178	0.00027591058378122435	NM_001143770
0.008898595435426178	0.00027591058378122565	NM_182755
0.008898595435426178	0.00027591058378122636	NM_001143766
0.008898595435426178	0.00027874589533014114	NM_003463
0.008898595435426178	0.0002807599555134475	NM_005321
0.008898595435426178	0.00028538501293399625	NM_078626
0.008898595435426178	0.0002891947555126447	NM_018120
0.008898595435426178	0.0002918280222363005	NM_016203
0.008898595435426178	0.0002958184866386008	NM_019026
0.008898595435426178	0.0002970520615013643	NM_001142306
0.008898595435426178	0.00029883745161509454	NM_033117
0.008898595435426178	0.0002988374516150974	NR_027126
0.008898595435426178	0.00029883745161509963	NR_027125
0.008898595435426178	0.0003063879750311611	NM_016274
0.008898595435426178	0.00030761167351488813	NM_001163391
0.008898595435426178	0.00030923597614639726	NM_153374
0.008898595435426178	0.00031274268185235504	NM_001130482
0.008898595435426178	0.0003127426818523557	NM_001130481
0.008898595435426178	0.00031274268185235645	NM_001130480
0.008898595435426178	0.00031274268185235645	NM_006296
0.008898595435426178	0.0003127426818523565	NM_001130483
0.008898595435426178	0.00031274268185235867	NM_001136027
0.008898595435426178	0.00031373152845969493	NM_003014
0.008898595435426178	0.0003161585725679267	NM_001039550
0.008898595435426178	0.0003161585725679306	NM_006736
0.008898595435426178	0.0003213597147533602	NM_001378
0.008898595435426178	0.00032611385110921056	NM_007007
0.008898595435426178	0.00032611702012778156	NM_144698
0.008898595435426178	0.00032628782901171797	NM_012437
0.008898595435426178	0.0003365302753441327	NM_144508
0.008898595435426178	0.00033653027534428115	NM_170589
0.008898595435426178	0.0003372447104436309	NM_020761
0.008898595435426178	0.0003372447104441414	NM_001163034
0.008898595435426178	0.0003381506695329005	NM_001093756
0.008898595435426178	0.00033815066953395525	NM_001093755
0.008898595435426178	0.00033815066953623744	NM_024941
0.008898595435426178	0.00033815066953646865	NR_003545
0.008898595435426178	0.0003381680978581513	NM_001134462
0.008898595435426178	0.0003387912881334449	NM_033228
0.008898595435426178	0.00033879128813394283	NM_033227
0.008898595435426178	0.00033879128815703064	NM_001656
0.008898595435426178	0.0003388454736960044	NM_022172
0.008898595435426178	0.0003390694790256811	NM_001009905
0.008898595435426178	0.0003399185244385698	NM_173475
0.008898595435426178	0.0003475613599424863	NM_019893
0.008898595435426178	0.00034756135994249066	NM_001143974
0.008898595435426178	0.0003480468898901024	NM_173197
0.008898595435426178	0.00034906836975852026	NM_005814
0.008898595435426178	0.0003501652414795515	NM_001004311
0.008898595435426178	0.00035121702888268267	NM_018833
0.008898595435426178	0.0003514085187863137	NM_001001715
0.008898595435426178	0.00035161636561904135	NM_001110303
0.008898595435426178	0.000351616365619043	NM_001008563
0.008898595435426178	0.00035161636561904455	NM_006676
0.008898595435426178	0.00035213642211039	NM_020424
