q_valuepi0=1	p_value	UCSC_RefGene_Accession
0.0006683883417660261	2.08259594243792e-08	NM_020998
0.0006872772310895916	4.282901670652406e-08	NM_022064
0.011154725978726888	3.899337591830499e-06	NM_181677
0.011154725978726888	3.8993375924469014e-06	NM_181678
0.011154725978726888	4.9655319591421894e-06	NM_181676
0.011154725978726888	4.965531959317078e-06	NM_181674
0.011154725978726888	5.999918184517804e-06	NM_001127381
0.011154725978726888	6.024347980568785e-06	NM_001794
0.011154725978726888	6.340781574725349e-06	NM_004576
0.011154725978726888	6.340781576944688e-06	NM_181675
0.011154725978726888	6.996051301640891e-06	NM_020815
0.011154725978726888	7.160804232733877e-06	NM_005504
0.011154725978726888	7.630626443134967e-06	NR_002948
0.011154725978726888	7.644628063519847e-06	NM_032961
0.011154725978726888	1.0141919063804507e-05	NM_175913
0.011154725978726888	1.094726003061688e-05	NM_022068
0.011154725978726888	1.3953826217604556e-05	NM_004064
0.011154725978726888	1.4699780645454052e-05	NM_003957
0.011154725978726888	1.4849121292701373e-05	NM_199167
0.011154725978726888	1.871459842971108e-05	NM_033054
0.011154725978726888	1.943456488721026e-05	NM_020433
0.011154725978726888	2.1882688092958414e-05	NM_005849
0.011154725978726888	2.233534216204584e-05	NM_152325
0.011154725978726888	2.4693330993495957e-05	NM_030572
0.011154725978726888	2.4696292593497847e-05	NM_001962
0.011154725978726888	2.5008240580218882e-05	NM_021096
0.011154725978726888	2.500824058021968e-05	NM_001003406
0.011154725978726888	2.8510810841175293e-05	NM_001017405
0.011154725978726888	2.851081084145235e-05	NM_005882
0.011154725978726888	2.9790351141430292e-05	NM_001039659
0.011154725978726888	2.9790351141431183e-05	NM_001039660
0.011154725978726888	3.0156688289153442e-05	NM_002996
0.011154725978726888	3.095241538777318e-05	NR_003679
0.011154725978726888	3.150163849002441e-05	NM_005148
0.011154725978726888	3.150163849002512e-05	NM_054035
0.011154725978726888	3.3469377660445506e-05	NM_003062
0.011154725978726888	3.405652351251601e-05	NM_001101314
0.011154725978726888	3.4056523512516195e-05	NM_001101312
0.011154725978726888	3.4056523512516514e-05	NM_001101311
0.011154725978726888	3.477746887857437e-05	NM_015419
0.011154725978726888	3.536651572686661e-05	NM_024490
0.011154725978726888	3.5386734185798714e-05	NM_020911
0.011154725978726888	3.5649841858978806e-05	NR_031591
0.011154725978726888	3.604172653941054e-05	NM_032554
0.011154725978726888	3.624144996265535e-05	NR_003551
0.011154725978726888	3.7254196512701774e-05	NM_001145057
0.011154725978726888	3.725419651270227e-05	NM_001145055
0.011154725978726888	3.725419651270339e-05	NM_173042
0.011154725978726888	3.7336483977973905e-05	NM_001042389
0.011154725978726888	3.733648397797399e-05	NM_001042357
0.011154725978726888	3.740104315807631e-05	NR_027019
0.011154725978726888	3.798997722392295e-05	NM_001135086
0.011154725978726888	3.812152197268394e-05	NM_012190
0.011154725978726888	3.973579936842157e-05	NM_020982
0.011154725978726888	3.9818126655783e-05	NM_021622
0.011154725978726888	4.1165359844441025e-05	NM_005672
0.011154725978726888	4.117678756885868e-05	NM_003872
0.011154725978726888	4.117678756885946e-05	NM_201266
0.011154725978726888	4.1176787568860056e-05	NM_201279
0.011154725978726888	4.2047304256712665e-05	NM_001097589
0.011154725978726888	4.204730425671345e-05	NM_005416
0.011154725978726888	4.27520026583901e-05	NM_002034
0.011154725978726888	4.3219430814304994e-05	NM_007030
0.011154725978726888	4.4528565665154716e-05	NM_001032396
0.011154725978726888	4.452856566515515e-05	NM_145119
0.011154725978726888	4.452856566515649e-05	NM_022368
0.011154725978726888	4.482429350239618e-05	NM_032872
0.011154725978726888	4.4922981870358654e-05	NM_006317
0.011154725978726888	4.526108904318706e-05	NM_032115
0.011154725978726888	4.526108904318731e-05	NM_001135107
0.011154725978726888	4.526108904318756e-05	NM_001135105
0.011154725978726888	4.591188642069459e-05	NM_053054
0.011154725978726888	4.652789292566051e-05	NM_001105577
0.011154725978726888	4.661519241357511e-05	NM_001145774
0.011154725978726888	4.6937535452375094e-05	NM_001136271
0.011154725978726888	4.7410903241458145e-05	NM_001127231
0.011154725978726888	4.741090324293354e-05	NM_015570
0.011154725978726888	4.752439673138442e-05	NM_014020
0.011154725978726888	4.8715983352498405e-05	NM_001080519
0.011154725978726888	4.93389877684051e-05	NM_014817
0.011154725978726888	4.986213804162473e-05	NM_001145808
0.011154725978726888	4.986213804162498e-05	NM_000632
0.011154725978726888	5.114955626659571e-05	NM_022449
0.011154725978726888	5.1838640084952e-05	NR_024342
0.011154725978726888	5.201380067495622e-05	NM_001134408
0.011154725978726888	5.320651688361173e-05	NR_003936
0.011154725978726888	5.4480749213506454e-05	NM_001139441
